Chars	Tone
　	0
.　	0.3968
. 	0.694
: 	1.388888889
.	1.851851852
､	2.380952381
; 	2.777
ヽ	2.778
:	3.704
冫	4.166666667
ヾ	4.62962962962963
ｰ	5
:;	5.54481
│	5.555555556
Ι	5.902777778
ン	6.349206349
';	6.4596945
ハ	6.944
∫	7.2917
;	7.385620
シ	7.53968254
Λ	8.308823529
ニ	8.888888889
ﾆ	8.888888889
/	8.995098039
二	9.027777778
人	9.027777778
く	9.259256
こ	9.4017
八	10.06944444
:i	10.174292
ふ	10.41666667
リ	10.64814815
火	11.11111111
乂	11.45833333
介	11.45833333
彡	11.80555556
父	12.15277778
り	12.5
ミ	12.12121212
ｚ	13.19444444
三	13.54166667
公	14.23611111
川	14.58333333
从	14.58333333
災	14.58333333
炎	15.27777778
木	15.625
爻	15.625
巛	15.625
込	15.96269063
Ш	16.31944444
i	16.64488
渋	17.01388889
勿	17.36111111
灸	17.36111111
淡	17.36111111
淡	17.36111111
衍	17.70833333
竺	17.70833333
氾	18.04602397
弓	18.40277778
已	18.75
兆	19.09722222
浴	19.09722222
州	19.09722222
泌	19.79166667
似	20.13888889
巡	20.13888889
l	20.37
愆	20.48611111
迩	20.83333333
尨	21.51824619
丑	21.52777778
笏	21.875
澎	22.22222222
蕊	22.56944444
洲	22.91666667
圭	22.91666667
返	23.26388889
品	23.61111111
慾	23.61111111
逐	23.95833333
劫	24.30555556
滋	24.65277778
妣	24.66639434
毯	24.99046841
砒	25
歪	25.69444444
肱	26.04166667
指	26.73611111
筋	27.08333333
語	27.77777778
燈	28.45315904
留	29.16666667
謐	30.20833333
誕	30.59368192
錙	31.94444444
鬚	33.68055556
雌	35.41666667
颶	36.11111111
醯	36.80555556
蠅	37.15277778
觀	37.5
讎	37.84722222
驪	38.19444444
鑒	38.54166667
靈	38.88888889
囑	39.23611111
躪	39.93055556
蠶	40.29956427
鬮	40.625
黼	40.97222222
欟	41.31127451
醴	42.35157952
